time,gFx,gFy,gFz,gFTotal,walker
85.83800196647644,-0.868,1.258,0.037,1.529,daniel
85.84833693504333,-0.836,1.22,-0.095,1.482,daniel
85.85843896865845,-0.674,1.066,-0.122,1.267,daniel
85.86857008934021,-0.499,0.927,-0.053,1.054,daniel
85.90288305282593,-0.328,0.815,0.122,0.887,daniel
85.90307307243347,-0.328,0.815,0.122,0.887,daniel
85.90323185920715,-0.328,0.815,0.122,0.887,daniel
85.90750193595886,-0.337,0.832,0.052,0.899,daniel
85.91802906990051,-0.349,0.845,-0.026,0.915,daniel
85.92829918861389,-0.359,0.864,-0.073,0.938,daniel
85.93843913078308,-0.369,0.886,-0.098,0.965,daniel
85.94830799102783,-0.386,0.895,-0.098,0.98,daniel
85.95852494239807,-0.397,0.885,-0.1,0.975,daniel
85.96885299682617,-0.4,0.867,-0.114,0.962,daniel
86.00412106513977,-0.416,0.823,-0.106,0.928,daniel
86.00440812110901,-0.416,0.823,-0.106,0.928,daniel
86.00464415550232,-0.416,0.823,-0.106,0.928,daniel
86.00784707069397,-0.441,0.818,-0.119,0.937,daniel
86.01833605766296,-0.45,0.816,-0.102,0.937,daniel
86.0288360118866,-0.454,0.812,-0.08,0.934,daniel
86.03861999511719,-0.458,0.804,-0.062,0.927,daniel
86.04897499084473,-0.465,0.785,-0.043,0.913,daniel
86.05873107910156,-0.476,0.769,-0.02,0.905,daniel
86.06830501556396,-0.484,0.76,0.0,0.901,daniel
86.09679102897644,-0.489,0.76,-0.01,0.904,daniel
86.09707808494568,-0.489,0.76,-0.01,0.904,daniel
86.09891486167908,-0.492,0.767,-0.042,0.912,daniel
86.10854506492615,-0.496,0.775,-0.071,0.923,daniel
86.11870408058167,-0.506,0.781,-0.094,0.935,daniel
86.12920689582825,-0.523,0.794,-0.107,0.957,daniel
86.13911199569702,-0.534,0.806,-0.104,0.972,daniel
86.14960217475891,-0.533,0.807,-0.1,0.972,daniel
86.15886187553406,-0.53,0.796,-0.085,0.96,daniel
86.1691038608551,-0.534,0.786,-0.074,0.953,daniel
86.1970579624176,-0.613,0.781,-0.122,1.0,daniel
86.19734001159668,-0.613,0.781,-0.122,1.0,daniel
86.19923186302185,-0.662,0.794,-0.17,1.048,daniel
86.20878005027771,-0.705,0.819,-0.188,1.097,daniel
86.22000288963318,-0.739,0.859,-0.179,1.147,daniel
86.22945094108582,-0.755,0.893,-0.15,1.179,daniel
86.24008703231812,-0.742,0.922,-0.095,1.187,daniel
86.2489550113678,-0.706,0.984,-0.053,1.212,daniel
86.26034188270569,-0.679,1.018,-0.036,1.224,daniel
86.27040219306946,-0.665,1.035,-0.008,1.23,daniel
86.3077929019928,-0.773,1.04,0.11,1.3,daniel
86.30818486213684,-0.773,1.04,0.11,1.3,daniel
86.30856013298035,-0.828,0.966,0.07,1.274,daniel
86.31104493141174,-0.828,0.966,0.07,1.274,daniel
86.31962990760803,-0.821,0.885,-0.032,1.208,daniel
86.32992506027222,-0.729,0.868,-0.064,1.135,daniel
86.33963203430176,-0.712,0.886,-0.164,1.148,daniel
86.35015511512756,-0.769,0.836,-0.429,1.214,daniel
86.36023998260498,-0.755,0.728,-0.181,1.064,daniel
86.37019419670105,-0.741,0.692,0.065,1.016,daniel
86.40794396400452,-0.352,1.141,0.083,1.197,daniel
86.40821599960327,-0.352,1.141,0.083,1.197,daniel
86.40846610069275,-0.352,1.141,0.083,1.197,daniel
86.41036200523376,-0.17,1.407,-0.066,1.419,daniel
86.4195659160614,-0.333,1.69,-0.116,1.726,daniel
86.42998385429382,-0.313,1.65,0.036,1.68,daniel
86.44003415107727,-0.267,1.35,0.141,1.383,daniel
86.45020794868469,-0.353,1.216,0.063,1.268,daniel
86.46015191078186,-0.43,1.192,0.162,1.278,daniel
86.47056007385254,-0.569,1.165,0.224,1.316,daniel
86.50488686561584,-0.771,0.946,-0.07,1.222,daniel
86.50514698028564,-0.771,0.946,-0.07,1.222,daniel
86.50539517402649,-0.771,0.946,-0.07,1.222,daniel
86.50978112220764,-0.753,0.943,-0.151,1.216,daniel
86.52000784873962,-0.756,0.915,-0.179,1.2,daniel
86.53056216239929,-0.793,0.887,-0.146,1.199,daniel
86.54000496864319,-0.793,0.876,-0.117,1.187,daniel
86.5509421825409,-0.741,0.827,-0.072,1.113,daniel
86.56007885932922,-0.567,0.727,-0.058,0.924,daniel
86.57102704048157,-0.317,0.61,0.021,0.688,daniel
86.60106897354126,-0.163,0.604,0.183,0.652,daniel
86.60136198997498,-0.163,0.604,0.183,0.652,daniel
86.60163187980652,-0.163,0.604,0.183,0.652,daniel
86.61054706573486,-0.327,0.681,0.119,0.765,daniel
86.62091708183289,-0.402,0.618,0.07,0.741,daniel
86.63083815574646,-0.453,0.552,0.076,0.718,daniel
86.64087510108948,-0.454,0.488,0.087,0.672,daniel
86.65111708641052,-0.422,0.431,0.075,0.608,daniel
86.66188311576843,-0.363,0.38,0.068,0.53,daniel
86.67118096351624,-0.293,0.347,0.074,0.46,daniel
86.70815896987915,-0.306,0.461,0.069,0.558,daniel
86.7084219455719,-0.306,0.461,0.069,0.558,daniel
86.70865893363953,-0.306,0.461,0.069,0.558,daniel
86.71070408821106,-0.308,0.419,0.056,0.523,daniel
86.72075915336609,-0.304,0.338,0.057,0.458,daniel
86.73108887672424,-0.282,0.168,0.064,0.334,daniel
86.7408401966095,-0.347,0.059,0.127,0.374,daniel
86.75118613243103,-0.454,0.079,0.239,0.519,daniel
86.76151299476624,-0.553,0.147,0.345,0.668,daniel
86.77190399169922,-0.648,0.197,0.429,0.802,daniel
86.80608797073364,-1.099,0.624,0.558,1.381,daniel
86.80633997917175,-1.099,0.624,0.558,1.381,daniel
86.8065710067749,-1.099,0.624,0.558,1.381,daniel
86.81036019325256,-1.349,1.017,0.66,1.814,daniel
86.82105088233948,-1.478,1.372,0.622,2.11,daniel
86.83141899108887,-1.384,1.544,0.556,2.147,daniel
86.84132599830627,-1.132,1.328,0.475,1.808,daniel
86.85151600837708,-1.048,0.968,0.444,1.494,daniel
86.86155486106873,-1.086,0.755,0.449,1.397,daniel
86.87191987037659,-1.087,0.702,0.365,1.344,daniel
86.9066731929779,-0.902,1.071,0.304,1.433,daniel
86.90691208839417,-0.902,1.071,0.304,1.433,daniel
86.90713810920715,-0.902,1.071,0.304,1.433,daniel
86.9110119342804,-0.721,1.258,0.258,1.473,daniel
86.92179298400879,-0.537,1.412,0.111,1.515,daniel
86.93197107315063,-0.43,1.555,0.042,1.614,daniel
86.94179701805115,-0.389,1.661,0.121,1.71,daniel
86.9518530368805,-0.372,1.589,0.107,1.635,daniel
86.9628221988678,-0.307,1.37,0.025,1.404,daniel
86.97224497795105,-0.189,1.057,-0.1,1.078,daniel
87.0089020729065,-0.191,0.658,-0.29,0.744,daniel
87.00914406776428,-0.191,0.658,-0.29,0.744,daniel
87.00936913490295,-0.191,0.658,-0.29,0.744,daniel
87.01141905784607,-0.179,0.695,-0.263,0.764,daniel
87.02169108390808,-0.113,0.703,-0.17,0.732,daniel
87.03229212760925,-0.001,0.685,-0.03,0.686,daniel
87.04175114631653,0.039,0.642,0.022,0.644,daniel
87.05212187767029,-0.149,0.752,0.059,0.769,daniel
87.0628080368042,-0.279,0.928,0.062,0.971,daniel
87.07246804237366,-0.334,0.974,-0.036,1.03,daniel
87.08659601211548,-0.409,0.927,-0.203,1.033,daniel
87.10905909538269,-0.475,0.73,-0.37,0.946,daniel
87.10931611061096,-0.475,0.73,-0.37,0.946,daniel
87.11142206192017,-0.473,0.708,-0.263,0.891,daniel
87.12184405326843,-0.445,0.732,-0.157,0.871,daniel
87.13217091560364,-0.435,0.778,-0.078,0.895,daniel
87.14235711097717,-0.429,0.821,-0.018,0.927,daniel
87.1525650024414,-0.424,0.829,-0.034,0.932,daniel
87.16295886039734,-0.427,0.818,-0.096,0.928,daniel
87.17271590232849,-0.447,0.799,-0.133,0.925,daniel
87.18652105331421,-0.479,0.782,-0.169,0.932,daniel
87.20858597755432,-0.534,0.782,-0.259,0.982,daniel
87.20884394645691,-0.534,0.782,-0.259,0.982,daniel
87.211758852005,-0.515,0.804,-0.298,1.0,daniel
87.22215008735657,-0.528,0.83,-0.286,1.024,daniel
87.23282408714294,-0.518,0.861,-0.214,1.027,daniel
87.24263119697571,-0.48,0.87,-0.148,1.005,daniel
87.25287890434265,-0.457,0.878,-0.095,0.994,daniel
87.2633330821991,-0.42,0.877,-0.052,0.974,daniel
87.27281212806702,-0.399,0.868,-0.052,0.957,daniel
87.28676390647888,-0.381,0.873,-0.067,0.955,daniel
87.30941605567932,-0.389,0.877,-0.088,0.963,daniel
87.30967307090759,-0.389,0.877,-0.088,0.963,daniel
87.31210803985596,-0.413,0.849,-0.084,0.948,daniel
